,Responsable,,Aprobador,,Soporte 1,,Soporte 2,,Soporte 3,,Soporte 4,,Soporte 5,,Soporte 6,,Consultado 1,,Consultado 2,,Consultado 3,,Consultado 4,,Consultado 5,,Consultado 6,,Consultado 7,,Consultado 8,,Informado 1,,Informado 2,,Informado 3,,Informado 4,,Informado 5,,Informado 6,,,,
DAF-6,DAF,ADQ,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAF-7,DAF,ADQ,DAF,DAF,SG,JUR,REC,REC,DAF,FIN,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAF-8,DAF,FIN,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAF-9,DAF,FIN,DAF,,DAC,DE,DAC,SA,DPAC,AI,SG,TG,,,,,DAC,DA,DAC,SA,SG,TG,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAF-10,DAF,FIN,DAF,DAF,DAF,DP,DAF,ADQ,DAF,INSG,DPAC,PCI,DI,DI,,,TODOS,GA,DPAC,PCI,,,,,,,,,,,,,CU,CU,TODOS,ESTR,,,,,,,,,,,
DAF-11,DAF,FIN,COL,CS,,,,,,,,,,,,,TODOS,ESTR,TODOS,TAC,TODOS,GA,DPAC,PCI,COL,CS,,,,,,,TODOS,ESTR,TODOS,COL,TODOS,GA,TODOS,TAC,TODOS,OP,CU,CU,,,
DAF-12,DAF,INSG,DAF,DAF,DAF,ADQ,DAF,FIN,,,,,,,,,TODOS,ESTR,TODOS,TAC,TODOS,GA,,,,,DPAC,TGI,,,,,TODOS,ESTR,TODOS,GA,,,,,,,,,,,
DAF-13,DAF,INSG,DAF,DAF,DAF,ADQ,DAF,FIN,,,,,,,,,TODOS,ESTR,TODOS,TAC,TODOS,GA,CU,CU,,,DPAC,TGI,,,,,TODOS,ESTR,TODOS,GA,,,,,,,,,,,
DAF-14,DAF,DP,DAF,DAF,DPAC,AC,DPAC,TGI,,,,,,,,,TODOS,TAC,TODOS,GA,,,,,,,,,,,,,TODOS,ESTR,TODOS,GA,TODOS,TAC,,,,,,,,,
DAF-15,DAF,DP,COL,CS,DPAC,AI,CU,CU,,,,,,,,,,,,,,,,,,,,,DPAC,AC,,,,,,,,,,,,,,,,,
DAF-16,DAF,DP,COL,CS,DAF,FIN,DPAC,DPAC,,,,,,,,,TODOS,TAC,TODOS,ESTR,TODOS,GA,TODOS,COL,CU,CU,,,,,,,TODOS,OP,TODOS,TAC,TODOS,ESTR,,,,,,,,,
DAF-17,DAF,DP,COL,CS,DAF,INSG,,,,,,,,,,,TODOS,ESTR,TODOS,OP,,,,,,,,,DPAC,AC,,,,,,,,,,,,,,,,,
DAF-18,DAF,ADQ,DAF,DAF,SG,JUR,REC,REC,CU,CU,,,,,,,TODOS,TAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAF-19,DAF,ADQ,DAF,DAF,DPAC,TGI,DPAC,AC,DAF,FIN,,,,,,,TODOS,TAC,TODOS,ESTR,TODOS,GA,,,,,,,,,,,,Todos,,,,,,,,,,,,,
DAF-20,DAF,FIN,DAF,DAF,,Todos,,,,,CU,CU,,,,,,Todos,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,Todos,,,,,,,,,,,,,
DAF-21,DAF,FIN,DAF,DAF,DPAC,TGI,DPAC,AC,SG,SG,,,,,,,,Todos,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,Todos,,,,,,,,,,,,,
DAF-22,DAF,FIN,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAF-23,DAF,INSG,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAF-24,DAF,INSG,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
