,Responsable,,Aprobador,,Soporte 1,,Soporte 2,,Soporte 3,,Soporte 4,,Soporte 5,,Soporte 6,,Consultado 1,,Consultado 2,,Consultado 3,,Consultado 4,,Consultado 5,,Consultado 6,,Consultado 7,,Consultado 8,,Informado 1,,Informado 2,,Informado 3,,Informado 4,,Informado 5,,Informado 6,,,,
DCS-5,DCS,ENF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCS-6,DCS,ENF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCS-7,DCS,ENF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCS-8,DCS,ENF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCS-9,DCS,ENF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCS-10,DCS,OBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCS-11,DCS,OBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCS-12,DCS,OBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCS-13,DCS,OBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCS-14,DCS,OBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCS-15,DCS,OBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCS-16,DCS,OBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCS-17,DCS,OBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCS-18,DCS,DCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCS-19,DCS,DCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCS-20,DCS,DCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCS-21,DCS,DCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCS-22,DCS,DCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCS-23,DCS,DCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCNT-1,DCNT,DCNT,DCNT,DCNT,DCNT,ICI,DCNT,IF,DCNT,AGRO,DCNT,ICII,,,,,DAC,EPRE,,,,,,,,,,,,,,,DAC,SA,,,,,,,,,,,,,
DCNT-2,DCNT,DCNT,DCNT,,DAC,,DAF,DP,DAF,ADQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCNT-3,DCNT,DCNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCNT-4,DCNT,DCNT,DCNT,DCNT,DI,DINV,DAF,ADQ,DVcM,DVcM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCNT-5,DCNT,DCNT,DCNT,DCNT,DVcM,EXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCNT-6,DCNT,DCNT,DCNT,DCNT,DAC,DA,DI,DINV,DVcM,EXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCNT-7,DCNT,DCNT,DCNT,DCNT,DPAC,PCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCNT-8,DCNT,ICI,DCNT,ICI,DAC,EPRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCNT-9,DCNT,ICI,DCNT,ICI,DAC,EPRE,DVcM,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCNT-10,DCNT,ICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCNT-11,DCNT,IF,DCNT,IF,DAC,EPRE,DAC,SA,REC,REC,DCNT,,,,,,,DCNT,DAF,DP,,,,,,,,,,,,,DAC,SA,DPAC,AI,,,,,,,,,,,
DCNT-12,DCNT,IF,DCNT,IF,DAC,EPRE,DAF,FIN,REC,EG,DAC,,,,,,,DE,,,,,,,,,,,,,,,DCNT,DCNT,DVcM,TE,,,,,,,,,,,
DCNT-13,DCNT,IF,DAF,DAF,DCNT,IF,DAF,FIN,,,DCNT,,,,,,,DCNT,,,,,,,,,,,,,,,DAF,DAF,,,,,,,,,,,,,
DCNT-14,DCNT,IF,DCNT,IF,DCNT,IF,DVcM,TE,,,DCNT,,,,,,,DCNT,,,,,,,,,,,,,,,DCNT,DCNT,DVcM,COM,,,,,,,,,,,
DCNT-15,DCNT,IF,DAC,SA,DCNT,IF,DAC,EPRE,,,DCNT,,,,,,,DCNT,DAC,SA,DVcM,TE,,,,,,,,,,,DAC,EPRE,DCNT,DCNT,DVcM,COM,,,,,,,,,
DCNT-16,DCNT,IF,DCNT,IF,DCNT,IF,DAC,EPRE,DVcM,DVcM,DCNT,,,,,,,DCNT,DAC,SA,DVcM,TE,,,,,,,,,,,DCNT,DCNT,DAC,SA,DAC,DE,,,,,,,,,
DCNT-17,DCNT,IF,DAF,DAF,DVcM,COM,DAF,FIN,DAF,DP,DVcM,,,,,,,DVcM,DCNT,DCNT,,,,,,,,,,,,,DVcM,DVcM,DCNT,DCNT,REC,REC,,,,,,,,,
DCNT-18,DCNT,AGRO,DAC,EPRE,DAF,DP,DAC,SA,REC,REC,DCNT,,,,,,,DCNT,DCNT,IF,DCNT,AGRO,,,,,,,,,,,DAC,SA,DPAC,AI,DAF,FIN,,,,,,,,,
DCNT-19,DCNT,AGRO,DAC,EPRE,DAC,DE,DAF,FIN,REC,EG,DCNT,,,,,,,AGRO,,,,,,,,,,,,,,,DCNT,DCNT,DVcM,TE,,,,,,,,,,,
DCNT-20,DCNT,AGRO,DAF,DAF,DCNT,AGRO,DAF,FIN,,,DCNT,,,,,,,IF,,,,,,,,,,,,,,,DAF,DAF,,,,,,,,,,,,,
DCNT-21,DCNT,AGRO,DCNT,AGRO,DCNT,AGRO,DVcM,TE,,,DCNT,,,,,,,IF,,,,,,,,,,,,,,,DCNT,DCNT,DVcM,COM,,,,,,,,,,,
DCNT-22,DCNT,AGRO,DAC,SA,DCNT,AGRO,DAC,EPRE,,,DCNT,,,,,,,AGRO,DCNT,IF,DVcM,TE,,,,,,,,,,,DAC,EPRE,DCNT,DCNT,DVcM,COM,,,,,,,,,
DCNT-23,DCNT,AGRO,DAF,DAF,DVcM,COM,DAF,FIN,DAF,DP,DVcM,,,,,,,DVcM,DCNT,DCNT,,,,,,,,,,,,,DVcM,DVcM,DCNT,DCNT,REC,REC,,,,,,,,,
DCNT-24,DCNT,ICII,DAC,EPRE,DAC,SA,DAC,EPRE,,,DAC,,,,,,,EPRE,DAC,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCNT-25,DCNT,ICII,DCNT,ICII,DAC,EPRE,DAC,BRA,DAC,DE,DAC,,,,,,,EPRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCNT-26,DCNT,ICII,DAC,EPRE,DAC,DA,REC,EG,DAC,EPRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCNT-27,DCNT,ICII,DCNT,ICII,DPAC,AC,,,,,DCNT,,,,,,,ICII,DAC,EPRE,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCNT-28,DCNT,ICII,DCNT,ICII,DAC,EPRE,,,,,DCNT,,,,,,,ICII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCNT-29,DCNT,ICI,DCNT,ICI,DAC,EPRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCNT-30,DCNT,ICI,DCNT,ICI,DAC,EPRE,DAC,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCSH-1,DCSH,DCSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCSH-2,DCSH,DCSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCSH-3,DCSH,DCSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCSH-4,DCSH,DCSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCSH-5,DCSH,DCSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCSH-6,DCSH,DCSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCSH-7,DCSH,DCSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCSH-8,DCSH,DCSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCSH-9,DCSH,DCSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCSH-10,DCSH,DCSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCSH-11,DCSH,DCSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCSH-12,DCSH,DCSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCSH-13,DCSH,DCSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCSH-14,DCSH,DCSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCSH-15,DCSH,PSI,DCSH,,DAC,EPRE,DVcM,COM,DAF,ADQ,,,,,,,DCSH,DCSH,DAC,SA,DAF,ADQ,,,,,,,,,,,DCSH,DCSH,DPAC,AI,DAF,DP,,,,,,,,,
DCSH-16,DCSH,PSI,DCSH,,DAC,EPRE,DAF,ADQ,DVcM,COM,,,,,,,DAC,EPRE,DAF,ADQ,,,,,,,,,,,,,DCSH,DCSH,DPAC,DPAC,DVcM,COM,,,,,,,,,
DCSH-17,DCSH,PSI,DCSH,,DVcM,DVcM,DPAC,DPAC,DAF,ADQ,,,,,,,DCSH,DCSH,SG,JUR,DAF,ADQ,,,,,,,,,,,DCSH,DCSH,DPAC,DPAC,,,,,,,,,,,
DCSH-18,DCSH,PSI,DCSH,,DAF,ADQ,DVcM,COM,DAF,ADQ,,,,,,,DCSH,DCSH,DAF,ADQ,DVcM,COM,,,,,,,,,,,DCSH,DCSH,DPAC,DPAC,,,,,,,,,,,
DCSH-19,DCSH,PSI,DCSH,,DAF,ADQ,DAF,INSG,DVcM,COM,,,,,,,DCSH,DCSH,DAF,ADQ,DAF,INSG,,,,,,,,,,,DCSH,DCSH,DPAC,DPAC,DVcM,COM,,,,,,,,,
DCSH-20,DCSH,PSI,DCSH,,DAF,DAF,,,,,,,,,,,DAC,EPRE,DAF,DAF,,,,,,,,,,,,,DCSH,DCSH,DAF,DAF,DPAC,DPAC,,,,,,,,,
DCSH-21,DCSH,TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCSH-22,DCSH,TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCSH-23,DCSH,TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
